is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2024-09-02,21,41,0,2,0
2024-09-01,20,41,0,2,0
2024-08-31,20,39,0,2,0
2024-08-30,19,38,0,2,0
2024-08-29,19,36,0,2,0
2024-08-28,19,36,0,2,0
2024-08-27,19,36,0,2,0
2024-08-26,19,37,0,2,0
2024-08-25,19,39,0,2,0
2024-08-24,19,41,0,2,0
2024-08-23,19,41,0,2,0
2024-08-22,19,42,0,2,0
2024-08-21,19,41,0,2,0
2024-08-20,19,42,0,3,0
2024-08-19,19,44,0,3,0
2024-08-18,19,43,0,3,0
2024-08-17,19,42,0,3,0
2024-08-16,19,41,0,3,0
2024-08-15,19,40,0,3,0
2024-08-14,19,41,0,3,0
2024-08-13,19,42,0,3,0
2024-08-12,19,45,0,3,0
2024-08-11,19,44,0,3,0
2024-08-10,20,43,0,3,0
2024-08-09,22,37,0,3,0
2024-08-08,21,38,0,3,0
2024-08-07,21,38,0,3,0
2024-08-06,21,41,0,2,0
2024-08-05,21,42,0,2,0
2024-08-04,21,40,0,2,0
2024-08-03,20,44,0,2,0
2024-08-02,20,43,0,2,0
2024-08-01,20,43,0,2,0
2024-07-31,20,41,0,2,0
2024-07-30,19,43,0,2,0
2024-07-29,19,42,0,2,0
2024-07-28,19,40,0,2,0
2024-07-27,19,44,0,2,0
2024-07-26,19,42,0,2,0
2024-07-25,20,44,0,2,0
2024-07-24,20,48,0,2,0
2024-07-23,22,48,0,3,0
2024-07-22,22,47,0,3,0
2024-07-21,23,47,0,3,0
2024-07-20,23,46,0,3,0
2024-07-19,23,45,0,3,0
2024-07-18,21,46,0,3,0
2024-07-17,20,45,0,3,0
2024-07-16,20,43,0,3,0
2024-07-15,20,41,0,3,0
2024-07-14,20,41,0,3,0
2024-07-13,20,43,0,3,0
2024-07-12,19,41,0,3,0
2024-07-11,20,40,0,3,0
2024-07-10,20,43,0,3,0
2024-07-09,20,43,0,3,0
2024-07-08,20,51,0,3,0
2024-07-07,20,49,0,3,0
2024-07-06,21,48,0,3,0
2024-07-05,21,44,0,3,0
2024-07-04,17,45,0,3,0
2024-07-03,16,48,0,3,0
2024-07-02,17,49,0,3,0
2024-07-01,17,50,0,3,0
2024-06-30,15,55,0,2,0
2024-06-29,14,56,0,2,0
2024-06-28,14,55,0,2,0
2024-06-27,15,55,0,2,0
2024-06-26,15,56,0,2,0
2024-06-25,14,57,0,2,0
2024-06-24,14,56,0,2,0
2024-06-23,14,51,0,2,0
2024-06-22,14,52,0,2,0
2024-06-21,18,47,0,2,0
2024-06-20,18,56,0,3,0
2024-06-19,18,55,0,3,0
2024-06-18,17,57,0,3,0
2024-06-17,17,58,0,3,0
2024-06-16,18,58,0,3,0
2024-06-15,17,60,0,3,0
2024-06-14,18,59,0,3,0
2024-06-13,18,59,0,3,0
2024-06-12,18,59,0,3,0
2024-06-11,18,65,0,3,0
2024-06-10,18,65,0,3,0
2024-06-09,18,61,0,3,0
2024-06-08,18,57,0,3,0
2024-06-07,18,63,0,3,0
2024-06-06,18,62,0,3,0
2024-06-05,18,64,0,3,0
2024-06-04,17,66,0,3,0
2024-06-03,17,66,0,3,0
2024-06-02,17,68,0,3,0
2024-06-01,17,66,0,3,0
2024-05-31,17,68,0,3,0
2024-05-30,17,67,0,3,0
2024-05-29,17,66,0,3,0
2024-05-28,17,65,0,3,0
2024-05-27,17,68,0,3,0
2024-05-26,17,66,0,3,0
2024-05-25,17,63,0,3,0
2024-05-24,16,61,0,3,0
2024-05-23,16,59,0,3,0
2024-05-22,16,59,0,3,0
2024-05-21,16,60,0,3,0
2024-05-20,16,59,0,3,0
2024-05-19,16,57,0,3,0
2024-05-18,16,57,0,3,0
2024-05-17,17,56,0,3,0
2024-05-16,16,58,0,3,0
2024-05-15,16,59,0,3,0
2024-05-14,15,60,0,3,0
2024-05-13,15,60,0,3,0
2024-05-12,16,63,0,3,0
2024-05-11,16,62,0,3,0
2024-05-10,17,61,0,3,0
2024-05-09,17,64,0,3,0
2024-05-08,18,61,0,3,0
2024-05-07,18,60,0,3,0
2024-05-06,19,60,0,4,0
2024-05-05,19,58,0,4,0
2024-05-04,17,60,0,2,0
2024-05-03,17,60,0,2,0
2024-05-02,17,60,0,2,0
2024-05-01,17,60,0,2,0
2024-04-30,17,60,0,2,0
2024-04-29,16,61,0,2,0
2024-04-28,16,62,0,2,0
2024-04-27,16,60,0,2,0
2024-04-26,16,59,0,2,0
