is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-08-17,1,21,1,1,0,3
2023-08-16,22,1,1,2,0,3
2023-08-15,2,2,12,4,1,20
2023-08-14,1,3,6,4,1,20
2023-08-13,1,9,3,2,2,19
2023-08-12,4,10,2,2,3,18
2023-08-11,9,7,2,2,3,19
2023-08-10,11,4,3,0,3,19
2023-08-09,6,0,3,0,4,18
2023-08-08,3,6,5,0,4,18
2023-08-07,3,4,4,1,4,18
2023-08-06,4,2,2,1,4,18
2023-08-05,5,4,0,2,5,17
2023-08-04,3,7,0,1,5,17
2023-08-03,7,2,1,1,5,17
2023-08-02,5,0,1,1,6,16
2023-08-01,2,2,2,3,9,16
2023-07-31,3,2,0,3,10,16
2023-07-30,1,4,0,2,10,16
2023-07-28,3,0,2,5,7,16
2023-07-27,0,0,2,7,6,16
2023-07-26,0,0,1,7,4,16
2023-07-25,0,1,2,9,3,16
2023-07-24,0,2,2,10,3,16
2023-07-23,1,1,2,10,3,16
2023-07-22,3,1,0,7,3,16
2023-07-21,0,5,3,6,1,16
2023-07-20,4,3,5,6,1,16
2023-07-19,5,1,7,4,2,16
2023-07-18,1,3,6,4,0,16
2023-07-17,2,5,5,5,0,16
2023-07-16,3,7,4,4,0,16
2023-07-15,6,4,3,4,0,16
2023-07-14,5,5,2,2,0,16
2023-07-13,7,5,4,2,0,16
2023-07-12,12,3,3,2,0,16
2023-07-11,10,2,2,0,1,15
2023-07-10,2,4,2,0,3,13
2023-07-09,4,6,2,1,5,12
2023-07-08,2,5,2,1,5,12
2023-07-07,7,0,0,1,4,12
2023-07-06,2,4,1,2,5,12
2023-07-05,3,3,1,1,5,12
2023-07-04,6,1,2,1,4,12
2023-07-03,0,3,6,5,5,12
2023-07-02,1,3,1,4,5,12
2023-07-01,3,6,1,3,5,12
2023-06-30,2,6,2,1,5,12
2023-06-29,7,1,4,1,5,11
2023-06-28,9,3,4,2,5,11
2023-06-27,4,3,3,1,7,9
2023-06-26,4,5,2,1,6,9
2023-06-25,3,5,2,2,4,10
2023-06-24,4,2,2,4,3,10
2023-06-23,4,1,1,5,3,10
2023-06-22,1,5,1,4,3,10
2023-06-21,3,4,2,4,3,10
