is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2020-09-25,96,181,14,2,0,15,45,0
2020-09-24,92,187,14,1,0,15,27,0
2020-09-23,95,182,14,2,0,15,24,0
2020-09-22,96,178,14,2,0,15,23,0
2020-09-21,99,171,14,2,0,16,33,0
2020-09-20,103,176,14,2,0,15,49,0
2020-09-19,97,168,14,2,0,16,57,0
2020-09-17,93,171,14,3,0,16,15,0
2020-09-16,92,168,14,3,0,16,47,0
2020-09-15,89,181,13,2,0,17,21,0
2020-09-14,81,190,14,2,0,18,14,0
2020-09-13,75,197,14,2,0,17,16,0
2020-09-12,69,196,14,3,0,15,21,0
2020-09-11,71,205,14,3,0,14,12,0
2020-09-10,71,209,14,3,0,14,14,0
2020-09-09,70,210,14,4,0,13,22,0
2020-09-08,71,205,14,3,0,13,16,0
2020-09-07,72,198,14,4,0,13,33,0
2020-09-06,71,200,14,4,0,12,33,0
2020-09-05,71,184,14,4,0,13,43,0
2020-09-04,74,188,12,3,0,13,22,0
2020-09-03,71,193,12,3,0,14,14,0
2020-09-02,76,185,13,2,0,15,15,0
2020-09-01,77,184,14,2,0,15,16,0
2020-08-31,82,177,13,3,0,16,18,0
2020-08-30,75,168,13,3,0,18,31,0
2020-08-29,72,161,13,3,0,19,25,0
2020-08-28,72,160,13,3,0,19,25,0
2020-08-27,67,160,14,4,0,20,26,0
2020-08-26,68,150,14,4,0,20,24,0
2020-08-25,68,155,11,4,0,20,15,0
2020-08-24,72,154,11,5,0,20,17,0
2020-08-23,78,151,10,5,0,18,8,0
2020-08-22,73,159,10,4,0,15,17,0
2020-08-21,70,158,9,5,0,15,12,0
2020-08-20,69,163,9,6,0,15,7,0
2020-08-19,67,156,9,6,0,14,19,0
2020-08-18,60,172,9,6,0,14,17,0
2020-08-17,63,174,9,8,0,14,3,0
2020-08-16,62,178,8,6,0,16,6,0
2020-08-15,55,177,7,6,0,16,10,0
2020-08-14,63,177,7,7,0,14,19,0
2020-08-13,59,187,7,6,0,14,18,0
2020-08-12,61,180,7,6,0,14,16,0
2020-08-11,59,181,6,6,0,14,29,0
2020-08-10,59,188,6,6,0,14,15,0
2020-08-09,56,188,6,6,0,14,19,0
2020-08-08,57,191,5,7,0,17,10,0
2020-08-07,61,190,5,7,0,18,20,0
2020-08-06,56,192,5,7,0,17,7,0
2020-08-05,58,180,5,5,0,17,8,0
2020-08-04,56,162,6,5,0,19,12,0
2020-08-03,55,149,6,6,0,20,5,0
2020-08-02,54,152,6,6,0,20,9,0
2020-08-01,61,145,6,7,0,20,11,0
2020-07-31,63,136,6,8,0,20,4,0
2020-07-30,64,136,6,8,0,19,13,0
