is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2020-05-02,68,39,20,18,9,2
2020-05-01,51,48,36,8,9,3
2020-04-30,52,50,41,17,6,3
2020-04-29,63,37,51,7,6,2
2020-04-28,57,31,54,15,8,2
2020-04-27,53,50,40,12,8,2
2020-04-26,45,81,31,9,8,2
2020-04-25,87,54,18,7,2,2
2020-04-24,75,52,21,25,4,2
2020-04-23,70,45,28,26,4,2
2020-04-22,77,42,29,9,4,2
2020-04-21,52,45,45,26,6,2
2020-04-20,58,38,35,24,7,2
2020-04-19,58,46,32,20,6,2
2020-04-18,52,45,20,8,3,2
2020-04-17,72,48,30,5,5,3
2020-04-16,61,45,41,9,4,3
2020-04-15,84,22,45,12,4,3
2020-04-14,47,30,25,28,3,3
2020-04-13,49,49,29,24,2,4
2020-04-12,54,58,31,22,1,4
2020-04-11,71,35,32,14,1,4
2020-04-10,66,32,29,13,1,9
2020-04-09,57,55,33,25,2,8
2020-04-08,62,53,42,25,4,6
2020-04-07,77,30,29,11,4,6
2020-04-06,50,49,42,18,4,6
2020-04-05,54,56,43,8,6,8
2020-04-04,61,39,51,4,6,8
2020-04-03,77,32,27,5,7,10
2020-04-02,58,59,25,9,15,13
2020-04-01,66,61,18,8,14,14
2020-03-31,94,29,15,10,14,13
2020-03-30,43,33,15,22,24,13
2020-03-29,50,37,21,24,24,13
2020-03-28,44,26,29,35,25,13
2020-03-27,51,20,21,29,24,14
2020-03-26,42,33,31,34,27,14
2020-03-25,49,31,25,27,21,14
2020-03-24,66,26,31,33,12,15
2020-03-23,58,41,22,47,14,14
2020-03-22,76,43,25,40,12,14
2020-03-21,60,54,32,43,12,14
2020-03-20,83,30,30,41,10,14
2020-03-19,65,42,39,39,11,14
2020-03-18,59,39,34,28,13,14
2020-03-17,60,48,41,13,11,15
2020-03-16,61,61,55,14,11,16
2020-03-15,83,48,45,16,7,16
2020-03-14,65,53,38,19,6,16
2020-03-13,71,63,17,16,7,15
2020-03-12,78,75,21,18,9,13
2020-03-11,82,61,26,23,13,13
2020-03-10,93,39,28,24,14,12
2020-03-09,45,43,27,39,22,21
2020-03-08,54,58,31,37,21,22
2020-03-07,65,45,39,34,21,23
2020-03-06,60,42,33,29,21,24
2020-03-05,54,43,25,22,17,26
2020-03-04,49,50,26,20,21,23
2020-03-03,56,45,33,15,23,20
2020-03-02,52,37,33,20,29,21
2020-03-01,54,32,29,21,31,19
2020-02-29,55,43,25,25,30,18
2020-02-28,58,48,20,25,31,19
2020-02-27,66,42,18,25,27,18
2020-02-26,64,42,16,31,29,15
2020-02-25,74,25,22,32,32,14
2020-02-24,39,36,30,26,32,15
2020-02-23,39,38,31,23,31,15
2020-02-22,50,28,28,25,29,15
2020-02-21,38,31,26,25,28,14
2020-02-20,39,38,28,21,26,15
2020-02-19,47,38,28,20,27,14
2020-02-18,53,45,32,18,22,14
2020-02-17,53,44,28,20,17,15
2020-02-16,53,30,31,27,22,13
2020-02-15,48,44,26,24,23,13
2020-02-14,46,44,25,26,23,13
2020-02-13,57,47,25,23,22,12
2020-02-12,77,41,21,26,21,13
2020-02-11,79,39,21,26,17,13
2020-02-10,69,33,22,28,18,13
2020-02-09,54,40,33,29,19,13
2020-02-08,43,40,34,23,18,10
2020-02-07,60,36,36,26,20,9
2020-02-06,49,41,30,27,22,9
2020-02-05,61,44,26,22,24,8
2020-02-04,49,46,30,16,24,8
2020-02-03,58,42,30,15,21,9
2020-02-02,51,44,31,21,21,9
2020-02-01,58,27,29,19,16,10
2020-01-31,54,26,27,27,16,9
2020-01-30,35,42,25,27,17,11
2020-01-29,55,39,21,24,15,11
2020-01-28,66,39,18,25,16,10
2020-01-27,58,36,23,19,14,10
2020-01-26,46,42,32,25,15,12
2020-01-25,61,28,34,19,15,12
2020-01-24,58,31,42,14,10,12
2020-01-23,54,40,37,14,9,12
2020-01-22,60,38,32,13,12,9
2020-01-21,58,55,21,13,7,9
2020-01-20,60,55,16,15,6,9
2020-01-19,64,50,18,20,9,8
2020-01-18,58,41,21,33,19,10
2020-01-17,72,30,22,24,17,9
2020-01-16,43,37,30,27,24,10
2020-01-15,61,33,28,22,30,10
2020-01-14,54,34,31,12,32,11
2020-01-13,49,35,32,14,30,11
2020-01-12,57,31,29,16,32,12
2020-01-11,50,49,31,14,27,12
2020-01-10,62,42,16,13,32,12
2020-01-09,79,44,18,18,31,12
2020-01-08,63,50,22,19,33,12
2020-01-07,86,24,24,16,21,12
2020-01-06,46,29,25,32,26,12
2020-01-05,38,41,28,36,27,11
2020-01-04,53,37,22,32,18,11
2020-01-03,54,28,20,42,17,11
2019-12-28,40,36,49,11,12,11
2019-12-27,43,25,23,8,15,8
2019-12-26,40,62,18,7,15,8
2019-12-25,31,68,18,14,16,9
2019-12-24,83,18,7,11,14,7
2019-12-23,58,34,12,23,17,7
2019-12-22,52,31,21,22,16,11
2019-12-21,61,19,33,29,13,11
2019-12-20,44,24,28,30,16,9
2019-12-19,35,48,32,25,15,9
2019-12-18,29,50,30,25,15,8
2019-12-17,54,31,26,17,15,8
2019-12-16,49,44,27,18,16,8
2019-12-15,46,40,20,11,16,7
2019-12-14,45,42,27,10,16,7
2019-12-13,60,35,26,6,15,7
2019-12-12,68,28,34,12,14,7
2019-12-11,60,33,29,13,12,7
2019-12-10,62,47,22,14,8,7
2019-12-09,50,62,23,18,7,6
2019-12-08,65,45,21,19,8,6
2019-12-07,63,33,25,22,10,6
2019-12-06,56,41,28,23,9,6
2019-12-05,54,54,31,20,7,6
2019-12-04,60,39,22,20,7,6
2019-12-03,78,31,21,11,5,8
2019-12-02,49,53,39,10,4,8
2019-12-01,74,39,35,10,5,8
2019-11-23,2,94,50,23,3,10
2019-11-22,2,87,56,16,2,10
2019-11-21,0,85,65,10,3,10
2019-11-20,0,95,56,7,6,8
2019-11-19,2,119,33,6,6,8
2019-11-18,2,112,29,10,6,8
2019-11-17,3,125,20,18,7,8
2019-11-16,1,95,45,26,16,0
2019-11-15,0,109,49,16,15,0
2019-11-14,0,103,60,3,17,0
2019-11-13,0,109,56,3,17,0
2019-11-12,0,121,38,5,15,0
2019-11-11,1,122,26,5,15,0
2019-11-10,0,137,12,7,15,0
2019-11-09,2,101,39,13,15,0
2019-11-08,38,58,41,15,16,0
2019-11-07,0,110,44,13,18,0
2019-11-06,0,119,44,14,16,0
2019-11-04,84,61,29,10,14,0
2019-11-03,60,79,26,7,14,0
2019-11-02,77,66,17,4,14,0
2019-11-01,46,57,51,6,14,0
2019-10-31,55,67,37,21,0,0
2019-10-30,64,62,35,21,0,0
2019-10-29,62,66,17,22,0,0
2019-10-28,76,70,14,21,0,0
2019-10-27,57,84,11,23,0,0
2019-10-26,89,54,7,28,0,0
2019-10-25,86,42,24,36,0,0
2019-10-24,77,54,60,0,0,0
2019-10-23,68,45,73,0,0,0
2019-10-22,70,51,68,0,0,0
2019-10-21,70,52,59,0,0,0
2019-10-20,47,137,0,0,0,0
2019-10-19,69,115,0,0,0,0
2019-10-18,94,111,0,0,0,0
2019-10-17,185,0,0,0,0,0
2019-10-16,53,47,51,8,9,14
2019-10-15,59,65,31,11,7,14
2019-10-14,60,77,22,12,5,14
2019-10-13,53,93,11,14,5,14
2019-10-12,85,60,14,14,4,14
2019-10-11,63,55,43,18,5,14
2019-10-10,73,35,42,17,2,16
2019-10-09,61,40,45,12,4,15
2019-10-08,56,62,30,11,4,15
2019-10-07,65,62,26,8,5,14
2019-10-06,54,87,20,8,5,14
2019-10-05,74,73,16,7,4,15
2019-10-04,62,48,33,19,3,15
2019-10-03,67,42,36,12,4,15
2019-10-02,56,44,45,9,4,15
2019-10-01,63,45,41,9,4,16
2019-09-30,72,47,34,10,4,17
2019-09-29,52,62,29,11,4,17
2019-09-28,62,72,27,8,7,17
2019-09-27,61,64,36,12,6,17
2019-09-26,79,43,35,14,5,17
2019-09-25,58,38,48,9,7,18
2019-09-24,54,60,42,11,7,18
2019-09-23,56,53,38,7,5,18
2019-09-22,41,67,36,6,5,18
2019-09-21,56,70,17,10,3,18
2019-09-20,51,51,33,19,2,18
2019-09-19,60,40,39,15,2,18
2019-09-18,56,31,43,14,2,18
2019-09-17,47,56,32,17,3,19
2019-09-16,55,48,41,6,3,20
2019-09-15,31,79,36,10,3,20
2019-09-14,71,50,34,5,4,20
2019-09-13,48,53,54,12,5,20
2019-09-12,49,51,44,10,6,19
2019-09-11,45,53,48,4,4,19
2019-09-10,46,64,35,4,4,20
2019-09-09,58,63,25,5,3,20
2019-09-08,49,72,23,5,5,18
2019-09-07,71,58,13,6,8,18
2019-09-06,56,43,30,20,12,18
2019-09-05,48,47,29,27,12,18
2019-09-04,60,51,33,21,12,18
2019-09-03,52,50,41,16,12,17
2019-09-02,36,72,36,11,11,16
2019-09-01,45,66,29,11,11,14
2019-08-31,47,54,29,11,12,14
2019-08-30,64,41,22,10,12,14
2019-08-29,42,45,28,16,13,13
2019-08-28,53,51,31,13,12,14
2019-08-27,49,53,29,14,11,14
2019-08-26,57,42,32,9,11,14
2019-08-25,40,53,35,7,10,14
2019-08-24,53,45,28,8,11,14
2019-08-23,29,52,30,11,9,14
2019-08-22,35,48,25,13,8,14
2019-08-21,42,42,21,14,7,14
2019-08-20,60,28,23,9,7,14
2019-08-19,49,39,22,15,6,14
2019-08-18,38,42,35,9,6,15
2019-08-17,41,39,40,10,4,15
2019-08-16,51,35,42,12,2,15
2019-08-15,41,51,40,17,2,15
2019-08-14,51,65,32,11,2,15
2019-08-13,65,58,27,12,1,15
2019-08-12,56,52,26,14,2,16
2019-08-11,46,51,37,12,2,16
2019-08-10,46,46,39,11,3,18
2019-08-09,57,29,54,5,3,17
2019-08-08,35,38,59,10,4,15
2019-08-07,38,51,50,10,8,12
2019-08-06,44,58,45,8,7,12
2019-08-05,52,75,36,7,9,11
2019-08-04,45,72,35,6,11,11
2019-08-03,42,60,46,8,13,10
2019-08-02,69,52,33,12,12,10
2019-08-01,42,59,42,21,14,10
2019-07-31,50,48,48,13,14,10
2019-07-30,64,42,43,12,11,10
2019-07-29,54,54,44,11,14,10
2019-07-28,56,63,39,12,14,10
2019-07-27,52,72,31,17,14,10
2019-07-26,66,62,30,16,14,10
2019-07-25,74,76,27,26,18,10
2019-07-24,74,66,30,27,18,10
2019-07-23,63,66,37,39,17,11
2019-07-22,62,47,43,45,16,11
2019-07-21,43,59,39,57,29,12
