is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2022-12-18,7,3,1,0,2,18
2022-12-17,3,0,0,0,2,18
2022-12-16,1,1,0,0,2,18
2022-12-15,0,1,0,0,2,18
2022-12-14,2,0,0,1,1,18
2022-12-13,0,0,0,2,2,18
2022-12-12,0,1,1,2,2,18
2022-12-11,1,0,0,2,2,18
2022-12-10,0,1,0,2,2,18
2022-12-09,0,1,0,1,3,17
2022-12-08,4,0,1,1,3,17
2022-12-07,0,0,1,0,3,17
2022-12-06,0,0,2,0,3,17
2022-12-05,0,0,1,0,3,17
2022-12-04,0,1,1,0,3,17
2022-12-03,2,2,0,0,1,17
2022-12-02,2,2,0,2,1,17
2022-12-01,5,1,0,2,1,17
2022-11-30,1,0,1,2,1,17
2022-11-29,4,0,1,2,1,17
2022-11-28,0,0,1,2,1,17
2022-11-27,0,0,0,2,2,16
2022-11-26,0,1,0,0,2,16
2022-11-25,2,1,2,0,2,16
2022-11-24,4,0,2,0,1,16
2022-11-23,0,0,2,1,1,16
2022-11-22,0,1,0,1,2,15
2022-11-21,2,3,0,1,2,15
2022-11-20,1,2,0,1,3,15
2022-11-19,4,0,0,1,3,15
2022-11-18,2,0,0,1,3,15
2022-11-17,3,1,0,1,3,15
2022-11-16,1,2,1,1,3,16
2022-11-15,3,1,1,1,2,16
2022-11-14,1,0,1,2,2,16
2022-11-13,1,0,1,1,2,16
2022-11-12,1,1,2,1,1,16
2022-11-11,1,1,2,2,1,16
2022-11-10,1,0,1,2,2,15
2022-11-09,5,1,0,2,2,15
2022-11-08,0,2,0,1,2,15
2022-11-07,4,1,1,1,3,13
2022-11-06,1,0,1,2,3,13
2022-11-05,1,0,1,2,3,13
2022-11-04,2,0,1,2,3,13
2022-11-03,0,1,1,1,3,13
2022-11-02,0,1,2,1,3,13
2022-11-01,3,0,1,1,4,12
2022-10-31,1,1,1,0,4,12
2022-10-30,3,1,1,0,4,12
2022-10-29,1,1,1,0,4,12
2022-10-28,0,1,1,0,4,13
2022-10-27,1,0,0,0,4,13
2022-10-26,0,1,0,0,3,13
2022-10-25,0,1,0,1,3,13
2022-10-24,4,0,0,1,3,13
2022-10-23,0,1,0,1,2,13
2022-10-22,2,0,0,3,1,13
2022-10-21,2,0,0,4,1,13
2022-10-20,2,2,0,4,1,13
2022-10-19,3,0,0,3,1,13
2022-10-18,1,1,1,3,1,13
2022-10-17,2,1,1,3,0,13
2022-10-16,2,0,1,2,0,13
2022-10-15,0,1,2,1,0,13
2022-10-14,1,1,3,1,0,13
2022-10-13,1,1,3,1,0,13
2022-10-12,3,1,1,1,0,14
2022-10-11,1,2,0,1,0,14
2022-10-10,1,3,0,0,0,14
2022-10-09,2,1,1,0,0,14
2022-10-08,1,0,2,0,0,14
2022-10-07,6,3,3,1,1,14
2022-10-06,1,4,2,0,1,14
2022-10-05,2,3,1,0,2,14
2022-10-04,2,3,1,0,2,14
2022-10-03,1,2,1,0,2,14
2022-10-02,2,0,0,0,3,13
2022-10-01,0,1,0,0,3,13
2022-09-30,0,1,0,0,3,13
2022-09-29,1,0,0,0,4,12
2022-09-28,3,0,0,0,3,12
2022-09-27,0,0,0,1,3,12
2022-09-26,1,0,0,1,3,12
2022-09-25,0,0,0,1,3,12
2022-09-24,2,0,0,1,3,12
2022-09-23,0,0,0,1,3,12
2022-09-22,0,0,0,1,2,12
2022-09-21,2,0,0,1,2,12
2022-09-20,0,0,1,1,2,12
2022-09-19,1,0,1,1,2,12
2022-09-18,2,1,1,1,3,12
2022-09-17,2,0,0,1,2,12
2022-09-16,0,1,0,2,1,12
2022-09-15,2,1,0,3,1,12
2022-09-14,5,4,1,2,0,12
2022-09-13,4,0,2,3,0,12
2022-09-12,0,0,2,3,0,12
